id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4592874475231828,JCY5xlX2k,今天的《每日安全动态推送(01-13)》 ：Project Zero 新 Blog，Introducing the In-the-Wild Series；CCS '20 会议议题资料公开了 每日安全动态推送(01-13) ,2021-01-13,微博 weibo.com,2,0,3,
4592511358866132,JCODRBcu8,今天的《每日安全动态推送(01-12)》：CVE-2020-9971 Abusing XPC Service mechanism to elevate privilege in macOS/iOS；Real World CTF 2020 Game2048 Writeup 每日安全动态推送(01-12) ,2021-01-12,微博 weibo.com,1,0,2,
4592141457952542,JCF1fxmOO,今天的《每日安全动态推送(01-11)》：HyperViper: Toolkit for Hyper-V security research；Google Chrome V8 CVE-2020-15999 字体加载堆溢出漏洞的利用过程 每日安全动态推送(01-11) ,2021-01-11,微博 weibo.com,2,0,5,
4591068131373734,JCd655Ln0,今天的《每日安全动态推送(01-08)》：The Apple M1 System on Chip (SoC)；NICER Protocol Deep Dive: Internet Exposure of DNS 每日安全动态推送(01-08) ,2021-01-08,微博 weibo.com,1,0,1,
4590333796814110,JBTZFsAF0,今天的《每日安全动态推送(01-06)》：NTFS 文件系统 CVE-2020-17096 RCE 漏洞分析；利用 WebKit 0Day 漏洞攻击 PS4 每日安全动态推送(01-06) ,2021-01-06,微博 weibo.com,4,0,3,
4589970746777754,JBKy6srcC,今天的《每日安全动态推送(01-05)》：三星手机 RKP（Real-time Kernel Protection）内核防护技术深度剖析；R.I.P ROP: CET Internals in Windows 20H1 每日安全动态推送(01-05) ,2021-01-05,微博 weibo.com,2,0,3,
4589602574435060,JBAYhiBLe,今天的《每日安全动态推送(01-04)》：各类 IoT 设备/Web 组件的默认密码收集；利用 Google 的 “Speech to Text” API 绕过自家的语音验证码 每日安全动态推送(01-04) ,2021-01-04,微博 weibo.com,5,0,5,
4587801549478285,JAQ7oDLJz,今天的《每日安全动态推送(12-30)》：Apple 对 iOS 模拟器公司 Corellium 的诉讼败诉了；线上举办的 CCC 安全会议的部分视频公开了 每日安全动态推送(12-30) ,2020-12-30,微博 weibo.com,1,0,2,
4587430654517067,JAGtbiX5V,今天的《每日安全动态推送(12-29)》：The State of Exploit Development: 80% of Exploits Publish Faster than CVEs；Joomla CMS 框架 ACL 安全访问控制漏洞（CVE-2020-35616）分析 每日安全动态推送(12-29) ,2020-12-29,微博 weibo.com,3,0,2,
4587079776342985,JAxlfqC6d,今天的《每日安全动态推送(12-28)》：Avast、McAfee 等杀软的 8 个0Day 漏洞分析；Antivirus Artifacts 2 每日安全动态推送(12-28) ,2020-12-28,微博 weibo.com,5,0,6,
4585617750491630,JzVj923Tw,今天的《每日安全动态推送(12-24)》：Windows splWOW64 本地提权漏洞因超 90 天未修复被 Project Zero 公开细节；Make Memcpy Safe Again: CodeQL 每日安全动态推送(12-24) ,2020-12-24,微博 weibo.com,4,0,3,
4585263558297775,JzM5RyOD5,今天的《每日安全动态推送(12-23)》：PS4 6.72 版本固件的越狱利用代码；GoSecure 团队整理的 SSTI 攻击 Workshop； 每日安全动态推送(12-23) ,2020-12-23,微博 weibo.com,3,0,2,
4584892040485429,JzCqE22hv,今天的《每日安全动态推送(12-22)》：NCCGroup 对多款智能门铃 IoT 设备的安全分析报告；通过嗅探 TPM SPI 接口的流量泄漏 BitLocker 全盘加密 Key 每日安全动态推送(12-22) ,2020-12-22,微博 weibo.com,4,0,1,
4584539933122560,JztgJd6jS,今天的《每日安全动态推送(12-21)》：Exploiting a Single Instruction Race Condition in Binder；多位新闻记者的手机被 NSO 组织的 iMessage 0Day Exploit 攻击 每日安全动态推送(12-21) ,2020-12-21,微博 weibo.com,3,0,3,
4583089613046552,JyRxvcMxW,今天的《每日安全动态推送(12-17)》：New 5G Network Flaws Let Attackers Track Users' Locations and Steal Data；POC 会议议题  Three Dark clouds over the Android kernel 每日安全动态推送(12-17) ,2020-12-17,微博 weibo.com,5,0,1,
4582363298531479,JyyE1zNqv,今天的《每日安全动态推送(12-15)》：Apache Struts 2 CVE-2020-17530 RCE 漏洞分析；Page Fault Injection in Virtual Machines: Accessing Swapped-Out Pages from HVMI 每日安全动态推送(12-15) ,2020-12-15,微博 weibo.com,5,0,3,
4582000449028724,JypcMBSMA,今天的《每日安全动态推送(12-14)》：据报道，美国多个机构、安全公司 FireEye 被黑背后的攻击者为俄罗斯政府支持的组织；红蓝对抗之 Linux 内网渗透 每日安全动态推送(12-14) ,2020-12-14,微博 weibo.com,3,0,2,
